gsm_id	tissue_group	processing_run_proxy	sample_median	sample_iqr	sample_mad	q01	q99	dynamic_range	sample_median_robust_z	sample_iqr_robust_z	sample_mad_robust_z	q01_robust_z	q99_robust_z	dynamic_range_robust_z	median_pearson_correlation	correlation_connectivity	median_correlation_robust_z	connectivity_robust_z	robust_pca_distance	robust_pca_cutoff	pca_distance_method	distribution_flag	correlation_flag	pca_flag	raw_evidence_flag	independent_signal_count	candidate_exclusion_review
GSM1045247	cancer	2004-12-22	2.759579351	3.377534125	0.662377805363401	2.312811642	11.5395445848	13.303620008	-0.673441929336194	0.62234766491265	-0.673441929336194	0	0.498210923638766	1.42345590985479	0.889576142568795	105.802467975074	-0.940472595824701	-0.883407506931872	3.84150163138548	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	FALSE	FALSE	0	FALSE
GSM1045248	cancer	2004-12-07	2.765270377	3.2370538075	0.670815320511	2.312811642	11.734972856	13.086261458	-0.556114422189622	-0.310045276493392	-0.556114422189621	0	1.36416857695502	0.076396021587651	0.862494746053716	102.901746456547	-2.24361963402118	-2.02130796556495	11.9129220616174	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	FALSE	FALSE	0	FALSE
GSM1045249	cancer	2004-12-15	2.794007952	3.306332183	0.713421649206	2.312811642	11.3850268784	13.073565298	0.0363460649330694	0.149767667111872	0.036346064933069	0	-0.186468880405669	-0.00228727783177733	0.921019429555381	108.863751592647	0.572567039517498	0.317478552000244	2.04732335810382	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	FALSE	FALSE	0	FALSE
GSM1045250	cancer	2004-12-08	2.920728271	3.0054589385	0.9012971941554	2.312811642	11.3746024982	13.300353358	2.6488414450437	-1.84718175912882	2.6488414450437	0	-0.232660108316714	1.40321114292931	0.885648921920399	105.235740416167	-1.12944903776896	-1.10572445293335	7.18682421702664	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	FALSE	FALSE	0	FALSE
GSM1045251	cancer	2004-12-22	2.765649657	3.429210629	0.671377641039	2.312811642	11.3883801912	12.954231158	-0.548295098062377	0.965333845636087	-0.548295098062377	0	-0.171610094287891	-0.741849780870437	0.915750341817744	108.889225256375	0.319020436945627	0.327471408416745	3.77229167460526	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	FALSE	FALSE	0	FALSE
GSM1045252	cancer	2004-12-10	2.763405164	3.279360915	0.6680499557172	2.312811642	11.723803677	13.179415498	-0.594568084426867	-0.0292454526724789	-0.594568084426866	0	1.31467708845688	0.653709730728755	0.88012940472452	105.364209979272	-1.39504621559838	-1.05532817261358	57.8671801936312	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	TRUE	FALSE	1	FALSE
GSM1045253	cancer	2004-12-09	2.742243537	3.2578604355	0.636675727527	2.312811642	11.5411494614	13.015890118	-1.03084107686721	-0.171947972708033	-1.03084107686721	0	0.505322254900457	-0.359723971840765	0.906614766866934	107.513022477274	-0.120580136560306	-0.212387989843069	4.9296341154794	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	FALSE	FALSE	0	FALSE
GSM1045254	cancer	2004-12-14	2.768347509	3.2945552435	0.6753774764142	2.312811642	11.4431784216	12.943015818	-0.492675557787847	0.0716020175989667	-0.492675557787847	0	0.0712050660351033	-0.811355832724747	0.912838769554063	108.054439266186	0.178916629160182	0	4.65922646771171	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	FALSE	FALSE	0	FALSE
GSM1045255	cancer	2005-01-25	3.003039674	2.78329766	1.0233320802432	2.312811642	11.2098738548	13.154576128	4.34579235050918	-3.32170581782581	4.34579235050917	0	-0.962585357088195	0.499769989334516	0.902085898238385	106.76747779812	-0.338507662431712	-0.50485164997831	3.33476477030591	20.5150056524329	MASS_cov.rob_mve	TRUE	FALSE	FALSE	FALSE	1	FALSE
GSM1045256	cancer	2004-12-21	2.859048736	3.0239378005	0.809851115564401	2.312811642	11.409005164	13.114741698	1.37724189805336	-1.72453425376554	1.37724189805336	0	-0.0802192584792714	0.252899724396762	0.914177116188607	108.602252070624	0.243317386776726	0.214897030767487	2.44337725954402	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	FALSE	FALSE	0	FALSE
