resource	entrez_id
GO_BP	115123
GO_BP	115196
GO_BP	1152
GO_BP	115201
GO_BP	115207
GO_BP	115209
GO_BP	115265
GO_BP	115286
GO_BP	115290
GO_BP	115294
GO_BP	1153
GO_BP	115330
GO_BP	115350
GO_BP	115352
GO_BP	115361
GO_BP	115362
GO_BP	115399
GO_BP	1154
GO_BP	115416
GO_BP	115426
GO_BP	1155
GO_BP	115509
GO_BP	115548
GO_BP	115557
GO_BP	115560
GO_BP	115572
GO_BP	115584
GO_BP	115650
GO_BP	115677
GO_BP	115701
GO_BP	115703
GO_BP	115704
GO_BP	115708
GO_BP	115727
GO_BP	115752
GO_BP	115761
GO_BP	1158
GO_BP	115825
GO_BP	115827
GO_BP	115861
GO_BP	115908
GO_BP	115939
GO_BP	115948
GO_BP	115950
GO_BP	115992
GO_BP	116
GO_BP	1160
GO_BP	116028
GO_BP	116039
GO_BP	116064
GO_BP	116068
GO_BP	116071
GO_BP	116085
GO_BP	1161
GO_BP	116113
GO_BP	116138
GO_BP	116143
GO_BP	116150
GO_BP	116151
GO_BP	116154
GO_BP	116159
GO_BP	116173
GO_BP	116224
GO_BP	116228
GO_BP	116236
GO_BP	116238
GO_BP	116255
GO_BP	116285
GO_BP	1163
GO_BP	116337
GO_BP	116362
GO_BP	116369
GO_BP	116372
GO_BP	116379
GO_BP	1164
GO_BP	116442
GO_BP	116443
GO_BP	116444
GO_BP	116447
GO_BP	116448
GO_BP	116449
GO_BP	116461
GO_BP	116496
GO_BP	116511
GO_BP	116519
GO_BP	116535
GO_BP	116541
GO_BP	116832
GO_BP	116835
GO_BP	116840
GO_BP	116841
GO_BP	116842
GO_BP	116843
GO_BP	116844
GO_BP	116931
GO_BP	116983
GO_BP	116984
GO_BP	116985
GO_BP	116986
GO_BP	116987
GO_BP	116988
GO_BP	117
GO_BP	117143
GO_BP	117144
GO_BP	117145
GO_BP	117154
GO_BP	117155
GO_BP	117157
GO_BP	117159
GO_BP	117166
GO_BP	117177
GO_BP	117178
GO_BP	117194
GO_BP	117195
GO_BP	117196
GO_BP	117245
GO_BP	117246
GO_BP	117247
GO_BP	117248
GO_BP	117283
GO_BP	117285
GO_BP	117286
GO_BP	117289
GO_BP	1173
GO_BP	1174
GO_BP	1175
GO_BP	117531
GO_BP	117532
GO_BP	117579
GO_BP	117581
GO_BP	117583
GO_BP	117584
GO_BP	1176
GO_BP	117608
GO_BP	1178
GO_BP	117854
GO_BP	1179
GO_BP	118
GO_BP	1180
GO_BP	1181
GO_BP	1182
GO_BP	1183
GO_BP	1184
GO_BP	118424
GO_BP	118426
GO_BP	118427
GO_BP	118429
GO_BP	118442
GO_BP	118460
GO_BP	118461
GO_BP	118471
GO_BP	118472
GO_BP	118487
GO_BP	118491
GO_BP	1185
GO_BP	1186
GO_BP	118611
GO_BP	118672
GO_BP	118738
GO_BP	118788
GO_BP	1188
GO_BP	118812
GO_BP	118813
GO_BP	118856
GO_BP	118881
GO_BP	118924
GO_BP	118980
GO_BP	118987
GO_BP	119
GO_BP	119032
GO_BP	1191
GO_BP	1192
GO_BP	1193
GO_BP	119391
GO_BP	119392
GO_BP	119395
GO_BP	119467
GO_BP	1195
GO_BP	119504
GO_BP	119548
GO_BP	119559
GO_BP	119587
GO_BP	1196
GO_BP	119710
GO_BP	1198
GO_BP	12
GO_BP	120
GO_BP	1200
GO_BP	120065
GO_BP	120066
GO_BP	120071
GO_BP	1201
GO_BP	120103
GO_BP	120114
GO_BP	120224
GO_BP	120227
GO_BP	1203
GO_BP	120376
GO_BP	120379
GO_BP	120425
GO_BP	120526
GO_BP	1207
GO_BP	1208
GO_BP	120863
GO_BP	120892
GO_BP	1209
GO_BP	120935
GO_BP	121053
GO_BP	1211
GO_BP	1212
GO_BP	121214
GO_BP	121227
GO_BP	121260
GO_BP	121268
GO_BP	121274
GO_BP	121278
GO_BP	1213
GO_BP	121340
GO_BP	121355
GO_BP	121391
GO_BP	121441
GO_BP	121457
GO_BP	1215
GO_BP	121506
GO_BP	121512
GO_BP	121536
GO_BP	121551
GO_BP	121599
GO_BP	121601
GO_BP	121642
GO_BP	121643
GO_BP	121665
GO_BP	121952
GO_BP	122042
GO_BP	122060
GO_BP	122258
GO_BP	122402
GO_BP	122416
GO_BP	122481
GO_BP	122509
GO_BP	122525
GO_BP	122553
GO_BP	122616
