pca_feature_set	PC	variance_explained
all_eligible_genes	60	0.00345080412886877
all_eligible_genes	61	0.00338722387483212
all_eligible_genes	62	0.00337669671575149
all_eligible_genes	63	0.00331357585608379
all_eligible_genes	64	0.00322495668225823
all_eligible_genes	65	0.00319596877456949
all_eligible_genes	66	0.003145595099399
all_eligible_genes	67	0.00311593647014548
all_eligible_genes	68	0.00307944024475193
all_eligible_genes	69	0.0030001227522251
all_eligible_genes	70	0.00295591676412292
all_eligible_genes	71	0.00291721277437153
all_eligible_genes	72	0.00288619486626981
all_eligible_genes	73	0.00283336423818554
all_eligible_genes	74	0.00279986043704418
all_eligible_genes	75	0.00273365334259782
all_eligible_genes	76	0.00268066029677683
all_eligible_genes	77	0.00265176726789868
all_eligible_genes	78	0.00257510460585419
all_eligible_genes	79	0.00255839755848762
all_eligible_genes	80	0.00249748856860952
all_eligible_genes	81	0.00245025335858989
all_eligible_genes	82	0.00241610435526237
all_eligible_genes	83	0.00240242825031123
all_eligible_genes	84	0.00236711759689043
all_eligible_genes	85	0.00233617454169565
all_eligible_genes	86	0.00230465056300574
all_eligible_genes	87	0.00226845964614036
all_eligible_genes	88	0.00223057366302312
all_eligible_genes	89	0.00219283231555416
all_eligible_genes	90	0.00215145221883259
all_eligible_genes	91	0.00212888392810314
all_eligible_genes	92	0.00204081504612939
all_eligible_genes	93	0.00201147651889911
all_eligible_genes	94	0.00197182885932372
all_eligible_genes	95	0.00193785533821165
all_eligible_genes	96	0.00185676939071468
all_eligible_genes	97	0.00182565399472613
all_eligible_genes	98	0.00179331422332423
all_eligible_genes	99	0.00177354974320889
all_eligible_genes	100	0.00171683530661863
all_eligible_genes	101	0.00167182832330406
all_eligible_genes	102	0.0016448074479191
all_eligible_genes	103	0.00162510521098234
all_eligible_genes	104	0.00155510317733608
all_eligible_genes	105	0.00152668840465164
all_eligible_genes	106	0.00146301986153076
all_eligible_genes	107	0.00141148025297505
all_eligible_genes	108	0.00138439057477612
all_eligible_genes	109	0.00133689851381056
all_eligible_genes	110	0.00126970582959142
all_eligible_genes	111	0.00122686834248329
all_eligible_genes	112	0.00121192570211478
all_eligible_genes	113	0.00115937156215679
all_eligible_genes	114	0.00104892508701854
all_eligible_genes	115	0.000964369479137904
all_eligible_genes	116	0.000896199545314954
all_eligible_genes	117	0.000828648390943745
all_eligible_genes	118	0.000717644947506465
all_eligible_genes	119	0.000672013613254407
all_eligible_genes	120	0.000612411219238153
all_eligible_genes	121	2.24550693332982e-30
